# static build-value site inventory — generated/regex_parser.rs
# totals: alt_hop_clone=1848 direct_fold=342 other_clone=1848 peel_fn_clone=16 peel_walk_clone=16 pgen_content=323 raw_best_clone=667 raw_use_clone=1698 seq_peel_clone=2119

fn	seq_peel_clone	alt_hop_clone	other_clone	peel_walk_clone	peel_fn_clone	raw_best_clone	raw_use_clone	direct_fold	pgen_content
parse_concatenation	1	1	1	1	1	0	0	0	0
parse_quoted_run_inner_piece	1	1	1	0	0	0	0	0	2
parse_quant_bound_number_body	1	1	1	0	0	0	2	0	0
parse_python_named_backreference	2	1	1	0	0	0	0	0	1
parse_callout_number_body	1	1	1	0	0	0	2	0	0
parse_modifier_group	1	1	1	1	1	0	0	0	0
parse_ascii_restrict_modifier	0	0	0	0	0	0	5	0	0
parse_conditional_branch	1	1	1	1	1	0	0	0	0
parse_directive_option_named	1	1	1	0	0	0	0	0	2
parse_directive_payload_digits	1	1	1	0	0	0	2	0	0
parse_directive_limit_value_body	1	1	1	0	0	0	2	0	0
cascade_build_value_class_escape_unit	0	0	0	0	0	0	0	5	0
cascade_build_value_class_literal	0	0	0	0	0	0	0	5	0
cascade_build_concatenation	1	1	1	1	1	0	0	0	0
cascade_build_value_condition_assertion	0	0	0	0	0	0	0	5	0
cascade_build_piece	1	1	1	0	0	0	0	2	0
cascade_build_value_quoted_class_literal_char	0	0	0	0	0	0	0	5	0
parse_regex	1	1	1	0	0	0	0	0	1
parse_name_ref	2	0	0	0	0	0	2	0	0
parse_posix_word_boundary_alias	0	0	0	0	0	2	2	0	0
parse_posix_class	2	0	0	0	0	0	0	0	2
parse_named_group_open_angle	2	1	1	0	0	0	0	0	0
parse_named_group_open_quote	2	1	1	0	0	0	0	0	0
parse_python_named_group_open	2	1	1	0	0	0	0	0	0
parse_scs_capture_name_ref	2	0	0	0	0	0	2	0	0
parse_scs_capture_name	1	1	1	0	0	0	0	0	1
parse_callout_backtick_payload	0	0	0	0	0	2	2	0	0
parse_callout_single_payload	0	0	0	0	0	2	2	0	0
parse_callout_double_payload	0	0	0	0	0	2	2	0	0
parse_callout_caret_payload	0	0	0	0	0	2	2	0	0
parse_callout_percent_payload	0	0	0	0	0	2	2	0	0
parse_callout_hash_payload	0	0	0	0	0	2	2	0	0
parse_callout_dollar_payload	0	0	0	0	0	2	2	0	0
parse_callout_brace_payload	0	0	0	0	0	2	2	0	0
cascade_build_value_class_item_core	0	0	0	0	0	0	0	4	0
cascade_build_value_class_literal_nocaret	0	0	0	0	0	0	0	4	0
cascade_build_value_class_range_any_char_no_orphan_quote_end	0	0	0	0	0	0	0	4	0
cascade_build_value_class_range_decodable_atom	0	0	0	0	0	0	0	4	0
cascade_build_value_class_range_escape_unit	0	0	0	0	0	0	0	4	0
cascade_build_value_code_not_quote_or_backslash	0	0	0	0	0	0	0	4	0
cascade_build_value_code_not_squote_or_backslash	0	0	0	0	0	0	0	4	0
cascade_build_value_code_regular_char	0	0	0	0	0	0	0	4	0
cascade_build_value_counted_quantifier_body	0	0	0	0	0	0	0	4	0
cascade_build_value_extended_class_regular	0	0	0	0	0	0	0	4	0
cascade_build_value_group	0	0	0	0	0	0	0	4	0
cascade_build_property_escape	0	0	0	0	0	0	0	4	0
parse_pattern	1	1	1	0	0	0	0	0	0
parse_dot	1	1	1	0	0	0	0	0	0
parse_reference_name	1	1	1	0	0	0	0	0	0
parse_stray_class_end_quote	1	1	1	0	0	0	0	0	0
parse_class_range_simple_escape	1	1	1	0	0	0	0	0	0
parse_capture_name	1	1	1	0	0	0	0	0	0
parse_yes_branch	1	1	1	0	0	0	0	0	0
parse_no_branch	1	1	1	0	0	0	0	0	0
cascade_build_callout_number_body	1	1	1	0	0	0	0	0	0
cascade_build_capture_name	1	1	1	0	0	0	0	0	0
cascade_build_value_class_item_visible_core	0	0	0	0	0	0	0	3	0
cascade_build_value_class_item_visible_nocaret_core	0	0	0	0	0	0	0	3	0
cascade_build_value_class_range_decodable_escape	0	0	0	0	0	0	0	3	0
cascade_build_value_directive_body_nonquantifiable	0	0	0	0	0	0	0	3	0
cascade_build_value_entry_concatenation	0	0	0	0	0	0	0	3	0
cascade_build_value_literal_char	0	0	0	0	0	0	0	3	0
cascade_build_pattern	1	1	1	0	0	0	0	0	0
cascade_build_quant_bound_number_body	1	1	1	0	0	0	0	0	0
cascade_build_reference_name	1	1	1	0	0	0	0	0	0
cascade_build_value_simple_escape_tail	0	0	0	0	0	0	0	3	0
cascade_build_stray_class_end_quote	1	1	1	0	0	0	0	0	0
cascade_build_version_number	0	0	0	0	0	0	0	3	0
parse_quant_suffix	0	0	0	0	0	0	2	0	0
parse_quoted_literal	1	0	0	0	0	0	0	0	1
parse_unterminated_quoted_literal	1	0	0	0	0	0	0	0	1
parse_numeric_backreference	1	0	0	0	0	0	0	0	1
parse_numeric_backreference_single	1	0	0	0	0	0	0	0	1
parse_quoted_class_literal_nonempty	1	0	0	0	0	0	0	0	1
parse_quoted_class_literal	1	0	0	0	0	0	0	0	1
parse_class_simple_escape_strict	1	0	0	0	0	0	0	0	1
parse_class_simple_escape_relaxed	1	0	0	0	0	0	0	0	1
parse_quoted_class_range_atom	1	0	0	0	0	0	0	0	1
parse_simple_escape	1	0	0	0	0	0	0	0	1
parse_unicode_escape	1	0	0	0	0	0	0	0	1
parse_control_escape	1	0	0	0	0	0	0	0	1
parse_capturing_group	1	0	0	0	0	0	0	0	1
parse_noncapturing_group	1	0	0	0	0	0	0	0	1
parse_comment_group	1	0	0	0	0	0	0	0	1
parse_lookahead_pos	1	0	0	0	0	0	0	0	1
parse_lookahead_neg	1	0	0	0	0	0	0	0	1
parse_lookbehind_pos	1	0	0	0	0	0	0	0	1
parse_lookbehind_neg	1	0	0	0	0	0	0	0	1
parse_non_atomic_lookahead_pos	1	0	0	0	0	0	0	0	1
parse_non_atomic_lookbehind_pos	1	0	0	0	0	0	0	0	1
parse_branch_reset_group	1	0	0	0	0	0	0	0	1
parse_directive_payload_colon	1	0	0	0	0	0	0	0	1
parse_extended_class	1	0	0	0	0	0	0	0	1
parse_code_block_plain	1	0	0	0	0	0	0	0	1
cascade_build_alpha_condition_assertion	0	0	0	0	0	0	0	2	0
cascade_build_atomic_group	0	0	0	0	0	0	0	2	0
cascade_build_value_class_bracket_token_tail	0	0	0	0	0	0	0	2	0
cascade_build_value_class_simple_escape	0	0	0	0	0	0	0	2	0
cascade_build_value_code_block	0	0	0	0	0	0	0	2	0
cascade_build_value_directive_body_quantifiable	0	0	0	0	0	0	0	2	0
cascade_build_directive_limit_named	0	0	0	0	0	0	0	2	0
cascade_build_directive_verb_named	0	0	0	0	0	0	0	2	0
cascade_build_hex_escape	0	0	0	0	0	0	0	2	0
cascade_build_modifier_spec	0	0	0	0	0	0	0	2	0
cascade_build_value_name_ref	0	0	0	0	0	0	0	2	0
cascade_build_octal_escape	0	0	0	0	0	0	0	2	0
cascade_build_value_piece_tail	0	0	0	0	0	0	0	2	0
cascade_build_recursion_condition	0	0	0	0	0	0	0	2	0
cascade_build_scoped_inline_modifiers	0	0	0	0	0	0	0	2	0
cascade_build_scs_capture_name_ref	0	0	0	0	0	0	0	2	0
cascade_build_value_start_option_body	0	0	0	0	0	0	0	2	0
cascade_build_value_subroutine_target	0	0	0	0	0	0	0	2	0
cascade_build_value_zero_width	0	0	0	0	0	0	0	2	0
scan_numeric_backreference	1	0	0	0	0	0	0	0	1
parse_empty_quoted_literal	0	0	0	0	0	0	0	0	1
parse_class_body	1	0	0	0	0	0	0	0	0
parse_class_item_visible	1	0	0	0	0	0	0	0	0
parse_class_item_visible_nocaret	1	0	0	0	0	0	0	0	0
parse_class_item	1	0	0	0	0	0	0	0	0
parse_empty_quoted_class_literal	0	0	0	0	0	0	0	0	1
parse_class_member_literal	1	0	0	0	0	0	0	0	0
parse_class_member_literal_nocaret	1	0	0	0	0	0	0	0	0
parse_class_escape	1	0	0	0	0	0	0	0	0
parse_escape	1	0	0	0	0	0	0	0	0
parse_alpha_lookaround_open	1	0	0	0	0	0	0	0	0
parse_unicode_char	1	0	0	0	0	0	0	0	0
cascade_build_value_anchor	0	0	0	0	0	0	0	1	0
cascade_build_branch_reset_group	0	0	0	0	0	0	0	1	0
cascade_build_value_callout_arg	0	0	0	0	0	0	0	1	0
cascade_build_callout_backtick_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_brace_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_caret_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_dollar_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_double_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_hash_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_percent_string	0	0	0	0	0	0	0	1	0
cascade_build_callout_single_string	0	0	0	0	0	0	0	1	0
cascade_build_capturing_group	0	0	0	0	0	0	0	1	0
cascade_build_char_class	0	0	0	0	0	0	0	1	0
cascade_build_value_class_atom	0	0	0	0	0	0	0	1	0
cascade_build_value_class_body_nonempty	0	0	0	0	0	0	0	1	0
cascade_build_value_class_body_nonempty_nocaret	0	0	0	0	0	0	0	1	0
cascade_build_value_class_negated_open	0	0	0	0	0	0	0	1	0
cascade_build_value_class_range_literal_escape_letter	0	0	0	0	0	0	0	1	0
cascade_build_value_class_range_nonliteral_atom	0	0	0	0	0	0	0	1	0
cascade_build_class_simple_escape_strict	0	0	0	0	0	0	0	1	0
cascade_build_value_code_escaped_char	0	0	0	0	0	0	0	1	0
cascade_build_value_code_string_escape	0	0	0	0	0	0	0	1	0
cascade_build_comment_group	0	0	0	0	0	0	0	1	0
cascade_build_condition_callout_assertion	0	0	0	0	0	0	0	1	0
cascade_build_value_conditional_branch	0	0	0	0	0	0	0	1	0
cascade_build_control_escape	0	0	0	0	0	0	0	1	0
cascade_build_directive_accept_named	0	0	0	0	0	0	0	1	0
cascade_build_directive_mark_named	0	0	0	0	0	0	0	1	0
cascade_build_directive_option_named	0	0	0	0	0	0	0	1	0
cascade_build_directive_payload_colon	0	0	0	0	0	0	0	1	0
cascade_build_directive_payload_equals	0	0	0	0	0	0	0	1	0
cascade_build_value_directive_payload_required	0	0	0	0	0	0	0	1	0
cascade_build_value_entry_alternation	0	0	0	0	0	0	0	1	0
cascade_build_inline_modifiers	0	0	0	0	0	0	0	1	0
cascade_build_value_modifier_item	0	0	0	0	0	0	0	1	0
cascade_build_noncapturing_group	0	0	0	0	0	0	0	1	0
cascade_build_numeric_backreference_single	0	0	0	0	0	0	0	1	0
cascade_build_posix_class	0	0	0	0	0	0	0	1	0
cascade_build_quantifier	0	0	0	0	0	0	0	1	0
cascade_build_value_quoted_class_literal_escaped_char	0	0	0	0	0	0	0	1	0
cascade_build_quoted_literal	0	0	0	0	0	0	0	1	0
cascade_build_quoted_run_inner_piece	0	0	0	0	0	0	0	1	0
cascade_build_value_returned_capture_group	0	0	0	0	0	0	0	1	0
cascade_build_scan_substring_group	0	0	0	0	0	0	0	1	0
cascade_build_script_run_group	0	0	0	0	0	0	0	1	0
cascade_build_value_scs_capture_number	0	0	0	0	0	0	0	1	0
cascade_build_signed_digits	0	0	0	0	0	0	0	1	0
cascade_build_value_simple_escape_letter	0	0	0	0	0	0	0	1	0
cascade_build_start_option_piece	0	0	0	0	0	0	0	1	0
cascade_build_subroutine_call	0	0	0	0	0	0	0	1	0
cascade_build_unterminated_quoted_literal	0	0	0	0	0	0	0	1	0
cascade_build_version_condition	0	0	0	0	0	0	0	1	0
cascade_build_value_whitespace_literal	0	0	0	0	0	0	0	1	0
cascade_build_value_ws	0	0	0	0	0	0	0	1	0
