range qualification: PASS g1c_sites=7 thin_memo_success_sites=2 instruction_overlap=0
probe_sha256=1d3fa0eebb4de19ff003ace38721d80d71bd94653f8ea3801c0f29ca9581f9b8
bands=sub1us,1to2p5,2p5to20
rows sorted by aggregate dynamic count
pc target=piece        address=0x10005a228 offset= 5384 total=  15 sub1us=6 1to2p5=3 2p5to20=6 | ldr x1, [x20, #0x2f8]
pc target=piece        address=0x10005bf90 offset=12912 total=  15 sub1us=3 1to2p5=3 2p5to20=9 | ldr x9, [x20, #0xf0]
pc target=piece        address=0x10005c088 offset=13160 total=  15 sub1us=5 1to2p5=7 2p5to20=3 | ldr x8, [x20, #0x4e0]
pc target=atom_closure address=0x100078f50 offset=57948 total=  14 sub1us=5 1to2p5=2 2p5to20=7 | ldr x9, [x20, #0x2f8]
pc target=piece        address=0x100059154 offset= 1076 total=  14 sub1us=9 1to2p5=1 2p5to20=4 | ldr x9, [x20, #0x288]
pc target=piece        address=0x10005c098 offset=13176 total=  14 sub1us=4 1to2p5=3 2p5to20=7 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x100075140 offset=42060 total=  13 sub1us=3 1to2p5=3 2p5to20=7 | ldr x9, [x20, #0x2f8]
pc target=atom_closure address=0x100079f8c offset=62104 total=  13 sub1us=3 1to2p5=4 2p5to20=6 | ldr x9, [x20, #0x258]
pc target=atom_closure address=0x10007a04c offset=62296 total=  13 sub1us=3 1to2p5=6 2p5to20=4 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10007a694 offset=63904 total=  13 sub1us=3 1to2p5=4 2p5to20=6 | ldr x19, [x20, #0x498]
pc target=atom_closure address=0x100073564 offset=34928 total=  12 sub1us=3 1to2p5=4 2p5to20=5 | ldr x11, [x20, #0x2f8]
pc target=piece        address=0x10005bf84 offset=12900 total=  12 sub1us=5 1to2p5=6 2p5to20=1 | ldr x28, [x20, #0x10]
pc target=piece        address=0x10005edd8 offset=24760 total=  12 sub1us=2 1to2p5=3 2p5to20=7 | ldr x23, [x20, #0x288]
pc target=atom_closure address=0x10006ef64 offset=17008 total=  11 sub1us=3 1to2p5=3 2p5to20=5 | ldr x1, [x20, #0x2f8]
pc target=atom_closure address=0x10006f53c offset=18504 total=  11 sub1us=2 1to2p5=3 2p5to20=6 | ldr x23, [x20, #0x498]
pc target=atom_closure address=0x10006ffec offset=21240 total=  11 sub1us=2 1to2p5=2 2p5to20=7 | ldr x8, [x20, #0x270]
pc target=atom_closure address=0x10007a514 offset=63520 total=  11 sub1us=2 1to2p5=5 2p5to20=4 | ldr x8, [x20, #0x278]
pc target=atom_closure address=0x10007af58 offset=66148 total=  11 sub1us=4 1to2p5=1 2p5to20=6 | ldr x21, [x20, #0x150]
pc target=piece        address=0x100058d5c offset=   60 total=  11 sub1us=3 1to2p5=6 2p5to20=2 | ldr x8, [x20, #0x28]
pc target=piece        address=0x10005bf78 offset=12888 total=  11 sub1us=8 1to2p5=2 2p5to20=1 | ldr x8, [x20, #0x288]
pc target=piece        address=0x10005cf70 offset=16976 total=  11 sub1us=4 1to2p5=4 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10006af2c offset=  568 total=  10 sub1us=2 1to2p5=4 2p5to20=4 | ldr x23, [x20, #0x2f8]
pc target=atom_closure address=0x10006deb4 offset=12736 total=  10 sub1us=5 1to2p5=2 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x1000703ec offset=22264 total=  10 sub1us=6 1to2p5=3 2p5to20=1 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x100072304 offset=30224 total=  10 sub1us=2 1to2p5=3 2p5to20=5 | ldr x8, [x20, #0x270]
pc target=atom_closure address=0x10007c134 offset=70720 total=  10 sub1us=2 1to2p5=5 2p5to20=3 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x10007c518 offset=71716 total=  10 sub1us=4 1to2p5=3 2p5to20=3 | ldr x8, [x20, #0x270]
pc target=piece        address=0x10005c4a8 offset=14216 total=  10 sub1us=3 1to2p5=1 2p5to20=6 | ldr x19, [x20, #0x250]
pc target=piece        address=0x10005e87c offset=23388 total=  10 sub1us=6 1to2p5=3 2p5to20=1 | ldr x28, [x20, #0x288]
pc target=piece        address=0x10005ee68 offset=24904 total=  10 sub1us=1 1to2p5=3 2p5to20=6 | ldr x1, [x20, #0x288]
pc target=atom_closure address=0x10007a48c offset=63384 total=   9 sub1us=2 1to2p5=3 2p5to20=4 | ldr x8, [x20]
pc target=atom_closure address=0x10007a5a0 offset=63660 total=   9 sub1us=2 1to2p5=3 2p5to20=4 | ldr x13, [x20, #0x2f8]
pc target=piece        address=0x10005c104 offset=13284 total=   9 sub1us=1 1to2p5=4 2p5to20=4 | ldr x8, [x20, #0x10]
pc target=piece        address=0x10005d828 offset=19208 total=   9 sub1us=7 1to2p5=0 2p5to20=2 | ldr x23, [x20, #0x288]
pc target=atom_closure address=0x10006adb0 offset=  188 total=   8 sub1us=3 1to2p5=2 2p5to20=3 | ldr x13, [x20, #0x2f8]
pc target=atom_closure address=0x10006af1c offset=  552 total=   8 sub1us=4 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x4e0]
