edition	chapter	clause	cases	positive	negative	observed_pass	observed_fail	suites
1364-2005	3	3.5.1	5	3	0	3	2	ispras-sv-tests
1364-2005	3	3.5.2	1	0	0	0	1	ispras-sv-tests
1364-2005	3	3.6.1	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.6.2	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.6.3	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.1	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.3	1	1	0	1	0	ispras-sv-tests
1364-2005	3	3.7.4	1	1	0	0	1	ispras-sv-tests
1364-2005	3	3.8.1	8	8	0	8	0	ispras-sv-tests
1364-2005	4	4.3.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.3.2	1	1	0	0	1	ispras-sv-tests
1364-2005	4	4.4.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.5.0	3	3	0	3	0	ispras-sv-tests
1364-2005	4	4.8.0	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.9.0	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.9.3.1	3	3	0	2	1	ispras-sv-tests
1364-2005	4	4.10.1	1	1	0	1	0	ispras-sv-tests
1364-2005	4	4.10.3	2	1	0	1	1	ispras-sv-tests
1364-2005	5	5.1.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.4	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.5	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.6	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.7	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.8	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.9	3	3	0	3	0	ispras-sv-tests
1364-2005	5	5.1.12	2	2	0	2	0	ispras-sv-tests
1364-2005	5	5.1.13	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.1.14	4	2	0	2	2	ispras-sv-tests
1364-2005	5	5.2.1	4	3	0	3	1	ispras-sv-tests
1364-2005	5	5.2.2	2	2	0	1	1	ispras-sv-tests
1364-2005	5	5.2.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.2.3.2	1	0	0	1	0	ispras-sv-tests
1364-2005	5	5.3.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.4.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.4.2	2	1	0	1	1	ispras-sv-tests
1364-2005	5	5.4.3	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.5.0	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.5.1	1	1	0	1	0	ispras-sv-tests
1364-2005	5	5.6.0	3	3	0	3	0	ispras-sv-tests
1364-2005	6	6.1.1	1	1	0	1	0	ispras-sv-tests
1364-2005	6	6.1.2	3	3	0	3	0	ispras-sv-tests
1364-2005	6	6.1.3	1	1	0	1	0	ispras-sv-tests
1364-2005	6	6.2.1	5	4	0	4	1	ispras-sv-tests
1364-2005	7	7.1.2	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.1.5	1	0	0	0	1	ispras-sv-tests
1364-2005	7	7.1.6	4	4	0	4	0	ispras-sv-tests
1364-2005	7	7.2.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.3.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.4.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.5.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.6.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.8.0	1	1	0	1	0	ispras-sv-tests
1364-2005	7	7.14.0	2	2	0	2	0	ispras-sv-tests
1364-2005	7	7.14.1	2	2	0	2	0	ispras-sv-tests
1364-2005	7	7.14.2.2	2	2	0	2	0	ispras-sv-tests
1364-2005	8	8.2.0	2	2	0	2	0	ispras-sv-tests
1364-2005	8	8.3.0	1	1	0	1	0	ispras-sv-tests
1364-2005	8	8.4.0	1	1	0	0	1	ispras-sv-tests
1364-2005	8	8.5.0	2	2	0	2	0	ispras-sv-tests
1364-2005	8	8.6.0	1	1	0	0	1	ispras-sv-tests
1364-2005	8	8.7.0	1	1	0	0	1	ispras-sv-tests
1364-2005	9	9.1.0	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.2.1	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.2.2	7	7	0	7	0	ispras-sv-tests
1364-2005	9	9.3.1	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.3.2	2	2	0	2	0	ispras-sv-tests
1364-2005	9	9.4.0	3	3	0	3	0	ispras-sv-tests
1364-2005	9	9.4.1	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.5.0	3	3	0	3	0	ispras-sv-tests
1364-2005	9	9.5.1	2	2	0	2	0	ispras-sv-tests
1364-2005	9	9.5.2	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.6.0	3	3	0	3	0	ispras-sv-tests
1364-2005	9	9.7.1	2	2	0	2	0	ispras-sv-tests
1364-2005	9	9.7.2	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.7.4	4	4	0	4	0	ispras-sv-tests
1364-2005	9	9.7.5	6	6	0	6	0	ispras-sv-tests
1364-2005	9	9.7.6	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.7.7	10	10	0	10	0	ispras-sv-tests
1364-2005	9	9.8.1	3	2	0	3	0	ispras-sv-tests
1364-2005	9	9.8.2	1	1	0	1	0	ispras-sv-tests
1364-2005	9	9.8.4	3	3	0	3	0	ispras-sv-tests
1364-2005	9	9.9.1	2	2	0	2	0	ispras-sv-tests
1364-2005	9	9.9.2	2	2	0	2	0	ispras-sv-tests
1364-2005	10	10.1.0	2	2	0	2	0	ispras-sv-tests
1364-2005	10	10.2.2	1	1	0	1	0	ispras-sv-tests
1364-2005	10	10.2.2.1	2	2	0	2	0	ispras-sv-tests
1364-2005	10	10.3.0	6	6	0	6	0	ispras-sv-tests
1364-2005	10	10.4.1	2	2	0	2	0	ispras-sv-tests
1364-2005	10	10.4.3	1	1	0	1	0	ispras-sv-tests
1364-2005	10	10.4.4	1	1	0	1	0	ispras-sv-tests
1364-2005	10	10.4.5	1	1	0	1	0	ispras-sv-tests
1364-2005	11	11.4.1	1	1	0	1	0	ispras-sv-tests
1364-2005	11	11.5.0	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.1.2	2	2	0	2	0	ispras-sv-tests
1364-2005	12	12.2.0	2	2	0	2	0	ispras-sv-tests
1364-2005	12	12.2.1	2	1	0	1	1	ispras-sv-tests
1364-2005	12	12.2.2.1	2	2	0	2	0	ispras-sv-tests
1364-2005	12	12.2.2.2	2	1	0	1	1	ispras-sv-tests
1364-2005	12	12.2.3	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.3.3	3	2	0	2	1	ispras-sv-tests
1364-2005	12	12.3.5	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.3.6	3	2	0	2	1	ispras-sv-tests
1364-2005	12	12.3.7	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.4.1	5	4	0	4	1	ispras-sv-tests
1364-2005	12	12.4.2	4	4	0	4	0	ispras-sv-tests
1364-2005	12	12.4.3	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.5.0	2	2	0	2	0	ispras-sv-tests
1364-2005	12	12.6.0	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	12	12.8.2	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.1.0	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.2	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.3	3	3	0	3	0	ispras-sv-tests
1364-2005	14	14.2.4.2	2	2	0	2	0	ispras-sv-tests
1364-2005	14	14.2.4.3	4	3	0	3	1	ispras-sv-tests
1364-2005	14	14.2.4.4	2	2	0	2	0	ispras-sv-tests
1364-2005	14	14.2.5	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.6	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.7.1	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.7.2	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.2.7.3	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.3.0	1	1	0	1	0	ispras-sv-tests
1364-2005	14	14.3.1	5	5	0	5	0	ispras-sv-tests
1364-2005	14	14.3.3	2	1	0	1	1	ispras-sv-tests
1364-2005	14	14.6.1	1	1	0	0	1	ispras-sv-tests
1364-2005	14	14.6.4.2	4	3	0	3	1	ispras-sv-tests
1364-2005	15	15.2.3	1	1	0	1	0	ispras-sv-tests
1364-2005	15	15.2.6	1	1	0	1	0	ispras-sv-tests
1364-2005	15	15.3.2	1	1	0	1	0	ispras-sv-tests
1364-2005	15	15.3.3	1	1	0	1	0	ispras-sv-tests
1364-2005	15	15.3.4	2	1	0	1	1	ispras-sv-tests
1364-2005	15	15.3.6	1	1	0	1	0	ispras-sv-tests
1364-2005	15	15.4.0	1	1	0	0	1	ispras-sv-tests
1364-2005	15	15.5.0	2	2	0	2	0	ispras-sv-tests
1364-2005	15	15.5.1	4	3	0	3	1	ispras-sv-tests
1364-2005	15	15.5.2	3	3	0	3	0	ispras-sv-tests
1364-2005	15	15.6.0	3	3	0	3	0	ispras-sv-tests
1364-2005	15	15.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	16	16.2.1	3	3	0	3	0	ispras-sv-tests
1364-2005	16	16.2.2	3	1	0	1	2	ispras-sv-tests
1364-2005	16	16.2.3	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.1.1.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.1.1.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.1.1.3	2	2	0	2	0	ispras-sv-tests
1364-2005	17	17.1.1.4	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.1.1.5	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.1.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.4.1	2	2	0	2	0	ispras-sv-tests
1364-2005	17	17.2.4.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.4.3	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.4.4	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.5	2	2	0	2	0	ispras-sv-tests
1364-2005	17	17.2.6	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.7	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.8	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.2.9	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.3.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.3.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.5.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.5.2	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.5.3	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.5.4	3	3	0	2	1	ispras-sv-tests
1364-2005	17	17.7.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.7.3	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.8.0	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.9.1	2	0	0	2	0	ispras-sv-tests
1364-2005	17	17.10.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.10.2	1	1	0	0	1	ispras-sv-tests
1364-2005	17	17.11.1	1	1	0	1	0	ispras-sv-tests
1364-2005	17	17.11.2	21	21	0	21	0	ispras-sv-tests
1364-2005	18	18.1.1	1	1	0	1	0	ispras-sv-tests
1364-2005	18	18.1.2	3	3	0	3	0	ispras-sv-tests
1364-2005	18	18.1.3	1	1	0	1	0	ispras-sv-tests
1364-2005	18	18.1.6	2	2	0	2	0	ispras-sv-tests
1364-2005	18	18.4.2	1	1	0	1	0	ispras-sv-tests
1364-2005	19	19.3.1	2	1	0	0	2	ispras-sv-tests
1364-2005	19	19.4.0	3	3	0	0	3	ispras-sv-tests
1364-2005	19	19.5.0	1	1	0	1	0	ispras-sv-tests
1364-2005	19	19.7.0	1	1	0	1	0	ispras-sv-tests
1364-2005	19	19.8.0	3	3	0	3	0	ispras-sv-tests
1364-2005	19	19.11.0	2	1	0	0	2	ispras-sv-tests
1800-2012	3	3.3	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.4	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.5	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.9	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.11	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.12.1	2	2	0	2	0	ispras-sv-tests
1800-2012	3	3.14.2.1	1	1	0	1	0	ispras-sv-tests
1800-2012	3	3.14.2.2	1	1	0	1	0	ispras-sv-tests
1800-2012	4	4.5	1	1	0	0	1	ispras-sv-tests
1800-2012	4	4.6	1	1	0	1	0	ispras-sv-tests
1800-2012	4	4.8	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.6	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.6.1	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.6.3	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.6.4	1	1	0	0	1	ispras-sv-tests
1800-2012	5	5.7.1	6	4	0	4	2	ispras-sv-tests
1800-2012	5	5.7.2	1	0	0	0	1	ispras-sv-tests
1800-2012	5	5.8	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.9	1	1	0	0	1	ispras-sv-tests
1800-2012	5	5.10	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.11	1	1	0	1	0	ispras-sv-tests
1800-2012	5	5.12	8	8	0	8	0	ispras-sv-tests
1800-2012	6	6.3.2.1	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.5	2	1	0	1	1	ispras-sv-tests
1800-2012	6	6.6.7	2	2	0	2	0	ispras-sv-tests
1800-2012	6	6.6.8	4	4	0	4	0	ispras-sv-tests
1800-2012	6	6.7.1	3	2	0	1	2	ispras-sv-tests
1800-2012	6	6.7.2	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.8	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.9.1	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.9.2	1	1	0	0	1	ispras-sv-tests
1800-2012	6	6.11.3	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.14	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.16	4	3	0	3	1	ispras-sv-tests
1800-2012	6	6.17	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.18	3	2	0	2	1	ispras-sv-tests
1800-2012	6	6.19	6	2	0	2	4	ispras-sv-tests
1800-2012	6	6.19.1	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.19.2	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.19.3	1	0	0	0	1	ispras-sv-tests
1800-2012	6	6.19.4	2	1	0	1	1	ispras-sv-tests
1800-2012	6	6.19.5.7	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.20	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.20.1	3	3	0	2	1	ispras-sv-tests
1800-2012	6	6.20.2	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.20.2.1	3	3	0	3	0	ispras-sv-tests
1800-2012	6	6.20.3	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.20.5	2	1	0	1	1	ispras-sv-tests
1800-2012	6	6.21	4	4	0	4	0	ispras-sv-tests
1800-2012	6	6.22.1	6	6	0	6	0	ispras-sv-tests
1800-2012	6	6.22.2	4	3	0	3	1	ispras-sv-tests
1800-2012	6	6.23	3	3	0	3	0	ispras-sv-tests
1800-2012	6	6.24.1	1	0	0	0	1	ispras-sv-tests
1800-2012	6	6.24.2	1	1	0	1	0	ispras-sv-tests
1800-2012	6	6.24.3	3	3	0	2	1	ispras-sv-tests
1800-2012	6	6.25	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.2.1	2	1	0	1	1	ispras-sv-tests
1800-2012	7	7.2.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.3	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.3.1	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.3.2	2	2	0	2	0	ispras-sv-tests
1800-2012	7	7.4	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.4.1	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.4.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.4.4	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.4.5	5	5	0	5	0	ispras-sv-tests
1800-2012	7	7.4.6	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.5	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.5.1	5	3	0	3	2	ispras-sv-tests
1800-2012	7	7.5.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.5.3	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.6	5	2	0	3	2	ispras-sv-tests
1800-2012	7	7.7	2	1	0	1	1	ispras-sv-tests
1800-2012	7	7.8	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.8.7	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.1	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.3	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.4	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.5	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.6	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.7	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.8	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.9.11	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.10.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.10.2.1	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.10.4	2	2	0	0	2	ispras-sv-tests
1800-2012	7	7.12.1	1	0	0	0	1	ispras-sv-tests
1800-2012	7	7.12.2	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.12.3	1	1	0	1	0	ispras-sv-tests
1800-2012	7	7.12.4	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.2	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.4	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.5	2	1	0	1	1	ispras-sv-tests
1800-2012	8	8.6	1	0	0	0	1	ispras-sv-tests
1800-2012	8	8.7	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.8	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.9	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.10	1	0	0	0	1	ispras-sv-tests
1800-2012	8	8.11	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.12	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.13	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.14	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.15	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.18	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.19	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.20	2	1	0	1	1	ispras-sv-tests
1800-2012	8	8.21	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.22	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.23	3	2	0	2	1	ispras-sv-tests
1800-2012	8	8.24	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.25	2	1	0	1	1	ispras-sv-tests
1800-2012	8	8.25.1	2	1	0	1	1	ispras-sv-tests
1800-2012	8	8.26	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.26.2	3	3	0	3	0	ispras-sv-tests
1800-2012	8	8.26.3	2	1	0	1	1	ispras-sv-tests
1800-2012	8	8.26.4	1	1	0	0	1	ispras-sv-tests
1800-2012	8	8.26.6.1	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.26.6.2	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.26.6.3	2	2	0	2	0	ispras-sv-tests
1800-2012	8	8.26.7	1	1	0	1	0	ispras-sv-tests
1800-2012	8	8.27	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.2.1	2	2	0	2	0	ispras-sv-tests
1800-2012	9	9.2.2.1	1	0	0	0	1	ispras-sv-tests
1800-2012	9	9.2.2.2	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.2.2.2.1	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.2.2.3	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.2.2.4	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.2.3	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.3.1	3	3	0	3	0	ispras-sv-tests
1800-2012	9	9.3.2	4	4	0	4	0	ispras-sv-tests
1800-2012	9	9.3.3	3	3	0	3	0	ispras-sv-tests
1800-2012	9	9.4.1	2	2	0	2	0	ispras-sv-tests
1800-2012	9	9.4.2	2	2	0	2	0	ispras-sv-tests
1800-2012	9	9.4.2.1	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.4.2.2	6	6	0	6	0	ispras-sv-tests
1800-2012	9	9.4.2.3	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.4.2.4	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.4.3	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.4.4	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.6.1	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.6.2	7	7	0	7	0	ispras-sv-tests
1800-2012	9	9.6.3	1	1	0	1	0	ispras-sv-tests
1800-2012	9	9.7	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.3.1	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.3.2	3	3	0	3	0	ispras-sv-tests
1800-2012	10	10.4.1	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.4.2	7	6	0	7	0	ispras-sv-tests
1800-2012	10	10.5	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.6	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.6.1	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.6.2	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.7	3	3	0	3	0	ispras-sv-tests
1800-2012	10	10.9	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.9.1	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.9.2	3	3	0	3	0	ispras-sv-tests
1800-2012	10	10.10.1	2	1	0	1	1	ispras-sv-tests
1800-2012	10	10.10.2	1	1	0	1	0	ispras-sv-tests
1800-2012	10	10.10.3	2	2	0	2	0	ispras-sv-tests
1800-2012	10	10.11	7	7	0	6	1	ispras-sv-tests
1800-2012	11	11.3.3	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.3.4	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.3.5	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.3.6	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.4.1	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.4.2	1	1	0	0	1	ispras-sv-tests
1800-2012	11	11.4.3.1	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.4.10	2	2	0	2	0	ispras-sv-tests
1800-2012	11	11.4.12	2	2	0	2	0	ispras-sv-tests
1800-2012	11	11.4.12.1	2	0	0	0	2	ispras-sv-tests
1800-2012	11	11.4.12.2	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.4.14.2	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.4.14.3	1	0	0	0	1	ispras-sv-tests
1800-2012	11	11.4.14.4	1	1	0	0	1	ispras-sv-tests
1800-2012	11	11.5.1	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.5.2	1	0	0	0	1	ispras-sv-tests
1800-2012	11	11.5.3	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.6	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.6.2	2	1	0	1	1	ispras-sv-tests
1800-2012	11	11.6.3	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.7	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.9	2	2	0	2	0	ispras-sv-tests
1800-2012	11	11.10	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.10.2	1	1	0	1	0	ispras-sv-tests
1800-2012	11	11.13	8	7	0	5	3	ispras-sv-tests
1800-2012	12	12.4.1	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.4.2	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.4.2.1	2	2	0	2	0	ispras-sv-tests
1800-2012	12	12.4.2.2	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.5	3	3	0	3	0	ispras-sv-tests
1800-2012	12	12.5.1	2	2	0	2	0	ispras-sv-tests
1800-2012	12	12.5.2	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.5.3	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.5.3.1	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.5.4	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.6.1	6	6	0	4	2	ispras-sv-tests
1800-2012	12	12.6.2	3	3	0	0	3	ispras-sv-tests
1800-2012	12	12.7.1	3	3	0	3	0	ispras-sv-tests
1800-2012	12	12.7.2	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.7.3	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.7.4	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.7.5	1	1	0	1	0	ispras-sv-tests
1800-2012	12	12.7.6	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.3	3	3	0	3	0	ispras-sv-tests
1800-2012	13	13.4	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.4.1	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.4.2	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.4.3	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.4.4	1	0	0	0	1	ispras-sv-tests
1800-2012	13	13.5.1	1	1	0	1	0	ispras-sv-tests
1800-2012	13	13.5.2	3	2	1	2	1	ispras-sv-tests
1800-2012	13	13.5.3	2	0	0	0	2	ispras-sv-tests
1800-2012	13	13.5.4	1	0	0	0	1	ispras-sv-tests
1800-2012	13	13.8	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.3	2	2	0	2	0	ispras-sv-tests
1800-2012	14	14.4	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.5	2	2	0	2	0	ispras-sv-tests
1800-2012	14	14.8	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.9	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.10	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.11	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.12	2	2	0	2	0	ispras-sv-tests
1800-2012	14	14.13	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.14	5	5	0	4	1	ispras-sv-tests
1800-2012	14	14.15	1	1	0	1	0	ispras-sv-tests
1800-2012	14	14.16	1	0	0	0	1	ispras-sv-tests
1800-2012	14	14.16.1	1	1	0	1	0	ispras-sv-tests
