rule	status	fired_file_count	satisfiable_under
context_member_method_call	covered	71	sv_2017,sv_2023,verilog_2005
continuous_assign	covered	1617	sv_2017,sv_2023,verilog_2005
controlled_reference_event	covered	5	sv_2017,sv_2023,verilog_2005
controlled_timing_check_event	covered	5	sv_2017,sv_2023,verilog_2005
cover_cross	covered	8	sv_2017,sv_2023
cover_point	covered	43	sv_2017,sv_2023,verilog_2005
cover_point_identifier	covered	26	sv_2017,sv_2023,verilog_2005
cover_property_statement	covered	16	sv_2017,sv_2023
cover_sequence_statement	GAP	0	sv_2017,sv_2023,verilog_2005
coverage_event	covered	32	sv_2017,sv_2023,verilog_2005
coverage_option	covered	13	sv_2017,sv_2023,verilog_2005
coverage_spec	covered	44	sv_2017,sv_2023,verilog_2005
coverage_spec_or_option	covered	45	sv_2017,sv_2023,verilog_2005
covergroup_declaration	covered	49	sv_2017,sv_2023
covergroup_declaration_sv_2017	covered	49	sv_2017
covergroup_declaration_sv_2023	na_profile	0	sv_2023
covergroup_expression	covered	21	sv_2017,sv_2023,verilog_2005
covergroup_identifier	covered	376	sv_2017,sv_2023,verilog_2005
covergroup_range_list	covered	21	sv_2017,sv_2023
covergroup_value_range	covered	21	sv_2017,sv_2023
covergroup_value_range_sv_2017	covered	21	sv_2017
covergroup_value_range_sv_2023	na_profile	0	sv_2023
cross_body	covered	8	sv_2017,sv_2023
cross_body_item	GAP	0	sv_2017,sv_2023
cross_body_item_sv_2017	GAP	0	sv_2017
cross_body_item_sv_2023	na_profile	0	sv_2023
cross_body_sv_2017	covered	8	sv_2017
cross_body_sv_2023	na_profile	0	sv_2023
cross_identifier	covered	7	sv_2017,sv_2023,verilog_2005
cross_item	covered	8	sv_2017,sv_2023,verilog_2005
cross_set_expression	GAP	0	sv_2017,sv_2023,verilog_2005
current_state	covered	20	sv_2017,sv_2023,verilog_2005
cycle_delay	covered	12	sv_2017,sv_2023,verilog_2005
cycle_delay_const_range_expression	covered	11	sv_2017,sv_2023,verilog_2005
cycle_delay_range	covered	61	sv_2017,sv_2023,verilog_2005
data_declaration	covered	6148	sv_2017,sv_2023,verilog_2005
data_declaration_sv_2017	covered	6148	sv_2017,verilog_2005
data_declaration_sv_2023	na_profile	0	sv_2023
data_event	covered	42	sv_2017,sv_2023,verilog_2005
data_source_expression	covered	22	sv_2017,sv_2023,verilog_2005
data_type	covered	7099	sv_2017,sv_2023,verilog_2005
data_type_or_implicit	covered	8002	sv_2017,sv_2023,verilog_2005
data_type_or_incomplete_class_scoped_type	na_profile	0	sv_2023
data_type_or_incomplete_class_scoped_type_sv_2023	na_profile	0	sv_2023
data_type_or_void	covered	1401	sv_2017,sv_2023,verilog_2005
data_type_or_void_sv_only	covered	289	sv_2017,sv_2023
declaration_identifier	covered	9056	sv_2017,sv_2023,verilog_2005
declared_checker_identifier	covered	19	sv_2017,sv_2023,verilog_2005
declared_class_alias_identifier	covered	50	sv_2017,sv_2023,verilog_2005
declared_class_identifier	covered	873	sv_2017,sv_2023,verilog_2005
declared_covergroup_identifier	covered	49	sv_2017,sv_2023,verilog_2005
declared_forward_class_identifier	covered	25	sv_2017,sv_2023,verilog_2005
declared_forward_interface_class_identifier	covered	2	sv_2017,sv_2023,verilog_2005
declared_interface_class_identifier	covered	53	sv_2017,sv_2023,verilog_2005
declared_let_identifier	covered	15	sv_2017,sv_2023,verilog_2005
declared_nettype_identifier	covered	8	sv_2017,sv_2023,verilog_2005
declared_package_identifier	covered	571	sv_2017,sv_2023,verilog_2005
declared_parameter_identifier	covered	1955	sv_2017,sv_2023,verilog_2005
declared_property_identifier	covered	24	sv_2017,sv_2023,verilog_2005
declared_sequence_identifier	covered	42	sv_2017,sv_2023,verilog_2005
declared_type_identifier	covered	1005	sv_2017,sv_2023,verilog_2005
declared_type_parameter_identifier	covered	194	sv_2017,sv_2023,verilog_2005
default_clause	covered	3	sv_2017,sv_2023,verilog_2005
default_skew	covered	13	sv_2017,sv_2023,verilog_2005
deferred_immediate_assert_statement	covered	17	sv_2017,sv_2023,verilog_2005
deferred_immediate_assertion_item	covered	10	sv_2017,sv_2023
deferred_immediate_assertion_statement	covered	24	sv_2017,sv_2023
deferred_immediate_assume_statement	covered	4	sv_2017,sv_2023,verilog_2005
deferred_immediate_cover_statement	covered	4	sv_2017,sv_2023,verilog_2005
defparam_assignment	covered	53	sv_2017,sv_2023,verilog_2005
delay	covered	127	sv_2017,sv_2023,verilog_2005
delay_control	covered	1944	sv_2017,sv_2023,verilog_2005
delay_or_event_control	covered	123	sv_2017,sv_2023,verilog_2005
delay_sv_2017	covered	127	sv_2017,verilog_2005
delay_sv_2023	na_profile	0	sv_2023
delay_value	covered	1940	sv_2017,sv_2023,verilog_2005
delay_value_sv_only	covered	43	sv_2017,sv_2023
delayed_data	covered	5	sv_2017,sv_2023,verilog_2005
delayed_reference	covered	5	sv_2017,sv_2023,verilog_2005
description	covered	9063	sv_2017,sv_2023,verilog_2005
description_unit_item_sv_only	covered	968	sv_2017,sv_2023
design_statement	covered	11	sv_2017,sv_2023,verilog_2005
direct_callable_method_call	covered	3	sv_2017,sv_2023,verilog_2005
