sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip/ast/rtl/ast_reg_top.sv	no	1377051	12	613532	40578	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip/xbar_main/rtl/autogen/xbar_main.sv	yes	1914599	115966	839619	48321	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/ac_range_check/dv/env/seq_lib/ac_range_check_smoke_racl_vseq.sv	no	466	7	162	0	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/ac_range_check/rtl/ac_range_check_reg_top.sv	no	10706669	12	4780161	313093	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/alert_handler/rtl/alert_handler_reg_pkg.sv	yes	1551743	65498	653011	50508	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/alert_handler/rtl/alert_handler_reg_top.sv	no	17486677	12	7824703	499215	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/gpio/rtl/gpio_reg_top.sv	no	2136674	12	958332	61938	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/otp_ctrl/rtl/otp_ctrl_core_reg_top.sv	no	3549573	12	1572911	102064	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/otp_ctrl/rtl/otp_ctrl_reg_pkg.sv	yes	1098387	45220	447431	31102	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/pinmux/rtl/pinmux_reg_pkg.sv	yes	3552115	130766	1487605	117012	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/pinmux/rtl/pinmux_reg_top.sv	no	35109358	12	15705729	990677	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/rv_core_ibex/rtl/rv_core_ibex_cfg_reg_top.sv	no	12226572	12	5447939	349127	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/rv_core_ibex/rtl/rv_core_ibex_reg_pkg.sv	yes	915402	39065	385951	30286	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/ip_autogen/rv_plic/rtl/rv_plic_reg_top.sv	no	9368944	12	4199864	274761	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_darjeeling/rtl/autogen/top_darjeeling.sv	yes	2831394	297404	1297658	78596	0
