rule	entries	committed	memo_hits
import_export	1	0	0
in_scope_compiler_directive	71798	0	0
in_scope_compiler_directive_sv_only	71798	0	437
inc_or_dec_expression	573447	3	10529
inc_or_dec_operator	869448	4	0
index_variable_identifier	8	5	0
indexed_range	53642	3036	71
initial_construct	73566	55	0
inout_declaration	2382	0	0
input_declaration	2382	162	0
input_port_identifier	3	3	0
input_terminal	1948	1945	0
inside_expression	866606	4	485508
inside_expression_sv_2017	381098	4	0
instance_identifier	61666	8642	0
integer_atom_type	1503984	688	0
integer_atom_type_sv_only	1503984	563	786268
integer_type	577631	0	589
integer_vector_type	797199	9100	0
integer_vector_type_sv_only	797199	8444	101637
integral_number	1166348	131027	0
interconnect_net_declaration_sv_only	79998	0	189
interface_ansi_header	71932	2	0
interface_class_declaration	80528	7	674
interface_class_item	13	6	3
interface_class_method	10	6	0
interface_class_type	4	4	0
interface_class_type_head	4	4	0
interface_declaration	72364	3	435
interface_declaration_sv_2017	71929	3	0
interface_identifier	79922	2728	0
interface_identifier_decl	1169	1	0
interface_instance_identifier	621	0	0
interface_instance_identifier_sv_2017	621	0	0
interface_instantiation	72857	2722	846
interface_item	2	1	0
interface_nonansi_header	71932	0	0
interface_or_generate_item	997	361	272
interface_port_declaration	2382	1	0
interface_port_header	1565	2	0
join_keyword	1	0	0
jump_statement	32377	388	5855
known_unscoped_base_class_type_identifier	14	0	1
known_unscoped_base_class_type_parameter_identifier	14	0	1
known_unscoped_block_class_type	220014	26	11673
known_unscoped_block_covergroup_identifier	32993	0	0
known_unscoped_block_type_identifier	32993	22	0
known_unscoped_checker_identifier	101964	0	3450
known_unscoped_class_scope_class_identifier	1019696	8	301888
known_unscoped_class_scope_interface_class_identifier	1019696	0	301888
known_unscoped_class_scope_type_parameter_identifier	832740	0	114932
known_unscoped_class_scoped_call_class_identifier	689139	0	112097
known_unscoped_class_scoped_call_interface_class_identifier	689139	0	112097
known_unscoped_class_scoped_call_type_parameter_identifier	689139	0	112097
known_unscoped_covergroup_type_identifier	220014	0	11673
known_unscoped_data_type_identifier	187021	511	66
known_unscoped_interface_class_type_identifier	4	4	2
known_unscoped_let_identifier	689139	0	112097
known_unscoped_parameter_identifier	711547	9273	112305
known_unscoped_property_identifier	2	0	1
known_unscoped_sequence_identifier	689495	0	112097
kw_B_ae4f281d	22	0	0
kw_F_e69f20e9	2	0	0
kw_N_b51a6073	2	0	0
kw_P_511993d3	2	0	0
kw_R_06576556	2	0	0
kw_X_c032adc1	27	0	0
kw_accept_on_2aee6cd4	2	0	0
kw_alias_cdb6fdbe	71992	0	0
kw_always_6656018a	73570	86	0
kw_always_comb_a1f2a86b	71992	23	0
kw_always_ff_3c7a051e	71992	2	0
kw_always_latch_23c99af9	71992	1	0
kw_and_cffa50a3	95266	0	0
kw_assert_64b5daad	322064	0	0
kw_assign_9009b730	170746	3462	0
kw_assume_661e458e	322064	0	0
kw_automatic_ebe88724	113928	90	0
kw_b_e9d71f5e	22	0	0
kw_begin_8cbd0a74	27887	2474	0
kw_bind_6bdd4db9	145194	0	0
kw_bit_026e996a	695562	166	0
kw_break_4f9cac8d	26522	0	0
kw_buf_cb252062	71988	0	0
kw_bufif0_e58d9bd3	71988	0	0
kw_bufif1_a2b83a3e	71988	0	0
kw_byte_8cf1783f	717716	0	0
kw_case_6406510c	125149	177	0
kw_casex_b31a7350	26522	0	0
kw_casez_b8fbe0e1	26522	27	0
kw_chandle_34401c13	220014	4	0
kw_checker_29e5b9a8	79809	0	0
kw_class_8d767bf5	80482	26	0
kw_class_qualifier_fa08937d	2427595	0	0
kw_clocking_4d22041d	71993	0	0
kw_cmos_aabe63a7	71988	0	0
kw_config_dfba7aad	605	0	0
kw_const_b42f3f6f	802708	0	0
kw_constraint_9f454fd4	79891	4	0
kw_context_ec2727b3	64	1	0
kw_continue_eee0bbba	26522	0	0
kw_cover_a28100fa	420578	0	0
kw_covergroup_80dfc68d	79851	0	0
kw_deassign_1af170b4	26522	0	0
kw_default_7505d64a	229777	122	0
kw_defparam_83d3c70e	72747	1	0
kw_disable_ccf09e2d	79576	0	0
kw_dist_02450072	1351	0	0
kw_do_eadcd9bd	26522	0	0
kw_dollar	200912	25	0
kw_edge_a0f2c69a	2508	2	0
kw_else_ae050f5b	1474	328	0
kw_end_7a92f3d2	9138	2474	0
kw_endcase_a27a6786	321	204	0
kw_endclass_b43ac277	20	17	0
kw_endfunction_84b8f967	113	110	0
kw_endgenerate_efb1f00a	6	6	0
kw_endinterface_ebd6ca35	2	2	0
kw_endmodule_2eb38ec9	237	136	0
kw_endpackage_4f31e93e	32	30	0
kw_endprimitive_f53f53d4	2	2	0
kw_endprogram_6b609b1f	1	1	0
kw_endtable_0b3f3e00	2	2	0
kw_endtask_eb64ab0d	85	81	0
kw_enum_e338e8e3	220635	114	0
kw_event_5006ed02	220014	1	0
kw_eventually_5865020f	2	0	0
kw_expect_ff93c451	26523	2	0
kw_export_51713409	175253	4	0
kw_extends_2b781ff8	32	2	0
kw_extern_bf1ee311	434247	6	0
kw_f_4a0a1921	2	0	0
kw_final_d594c2cc	71992	2	0
kw_first_match_2ddb8d09	1358	0	0
kw_for_43eef9a6	98655	51	0
kw_force_fafec1e5	53044	0	0
kw_foreach_4d3e8614	26530	1	0
kw_forever_e07f8c4a	26628	0	0
kw_fork_3f673f2a	26526	0	0
kw_fs_3f4bb586	201309	0	0
kw_function_c218e39e	159750	121	0
kw_generate_9e59d425	71993	6	0
kw_genvar_9cb2eb8a	72065	6	0
kw_global_9027cc5a	71992	0	0
kw_highz0	1	0	0
kw_highz1	2	0	0
kw_if_958f57f5	99331	1524	0
kw_iff_ee1c009e	4564	0	0
kw_implements_e133e2cb	25	0	0
kw_implies_470cec58	2	0	1
kw_import_62fdfbd5	271734	31	0
kw_initial_8ad7d21c	73568	55	0
kw_inout_c900aaa9	4287	77	0
kw_input_140f86aa	6674	897	0
kw_inside_fcc53788	323380	4	0
kw_int_46f8ab7c	717716	563	0
kw_integer_1178cafb	1503984	125	0
kw_interconnect_c8ec83f5	81638	0	0
kw_interface_5ea2d81a	297836	11	0
kw_intersect_6c96caaf	1343	0	0
kw_join_any_24358a7a	1	0	0
kw_join_c455b38e	1	0	0
kw_join_none_4454a7a6	1	0	0
kw_let_0262f9bb	111844	0	0
kw_local_939bb46a	607629	0	0
kw_localparam_7829ee69	338585	958	0
kw_logic_2c684987	695562	8278	0
kw_longint_30bcfc87	717716	0	0
kw_macromodule_df04b866	215781	1	0
kw_matches_9f3e9242	322764	0	0
kw_modport_1cf85849	4	1	0
kw_module_fbd34a2b	215781	136	0
kw_ms_26cc3217	201309	0	0
kw_n_0_b6589fc6	27	7	0
kw_n_1_356a192b	27	7	0
kw_n_1step_e6d37e7c	12257	0	0
kw_n_d1854cae	2	0	0
kw_nand_c8a98832	71988	0	0
kw_negedge_c77fbc5c	2508	2	0
kw_nettype_27d30cf3	223766	0	0
kw_new_c2a6b03f	16878	9	0
kw_nexttime_b0f658f8	4	0	0
kw_nmos_0c967e00	71988	0	0
kw_nor_19d0495c	71988	0	0
kw_not_557f2555	71990	0	0
kw_notif0_2c8df148	71988	0	0
kw_notif1_245fe7ea	71988	0	0
kw_ns_7320d5b7	201309	3	0
kw_null_2be88ca4	2885066	0	0
kw_or_1758356d	97813	1	0
kw_output_1029d676	6683	671	0
kw_p_516b9783	2	0	0
kw_package_582681c2	605	30	0
kw_packed_7aca22de	748	720	0
kw_parameter_b75381f0	340091	7989	0
kw_pmos_f3d8bd5d	71988	0	0
kw_posedge_7529558b	2508	57	0
kw_primitive_9756bf34	1821	3	0
kw_priority_3345867e	26674	0	0
kw_program_81d9aeea	223610	1	0
kw_property_269fe373	79809	0	0
kw_protected_964cab4b	54	0	0
kw_ps_c67f1ee1	201309	4	0
kw_pull0	1	0	0
kw_pull1	2	0	0
kw_pulldown_20560243	71988	0	0
kw_pullup_f7402b53	71988	0	0
kw_pure_afe003f1	270	6	0
kw_r_4dc7c9ec	2	0	0
kw_rand_52400560	3703	7	0
kw_randc_c870e2bc	3000	0	0
kw_randcase_89bbd045	26522	0	0
kw_randomize_e3b19624	598975	0	0
kw_randsequence_8b92cf8f	26522	0	0
kw_rcmos_ae4a7a0a	71988	0	0
kw_real_c9c64e07	797645	5	0
kw_realtime_91c462ed	797645	0	0
kw_ref_69449f99	4287	1	0
kw_reg_e06b9586	797205	656	0
kw_reject_on_a3b3068d	2	0	0
kw_release_01f561ac	53044	0	0
kw_repeat_c0ac4842	31354	0	0
kw_restrict_ee1e5b88	98514	0	0
kw_return_63143b6f	26522	388	0
kw_rnmos_de1c9510	71988	0	0
kw_rpmos_7cd80934	71988	0	0
kw_rtran_edbf7838	71988	0	0
kw_rtranif0_caee0cc0	71988	0	0
kw_rtranif1_91fafa05	71988	0	0
kw_s_a0f1490a	201309	0	0
kw_s_always_0f9aa900	2	0	0
kw_s_eventually_86207140	4	0	0
kw_s_nexttime_373d0bd1	4	0	0
kw_s_until_073539cf	2	0	0
kw_s_until_with_3a7bcf5b	2	0	0
kw_scalared_92ab459c	383	0	0
kw_sequence_92504616	79809	0	0
kw_shortint_131a0f0d	717716	0	0
kw_shortreal_99d69111	695419	0	0
kw_signed_07235a80	853888	6	0
kw_soft_eb74f2cb	8	0	0
kw_solve_f544e4c9	8	0	0
kw_specify_ade6a05c	71755	0	0
kw_specparam_54af7813	71755	0	0
kw_static_a381562a	193873	5	0
kw_std_55ec981f	1424828	0	0
kw_string_ecb25204	909277	53	0
kw_strong0	1	0	0
kw_strong1	2	0	0
kw_strong_0117691d	2	0	0
kw_struct_d118e5a3	208962	714	0
kw_super_8451ba8a	599246	0	0
kw_supply0	81639	0	0
kw_supply1	81640	0	0
kw_sv_dollar_04da59ec	1834196	982	0
kw_sv_dollar_error_d304cf0a	71992	0	0
kw_sv_dollar_fatal_ecc3c9fd	71992	0	0
kw_sv_dollar_info_d116cb1c	71992	0	0
kw_sv_dollar_root_f65f0e67	1185976	0	0
kw_sv_dollar_unit_1d99223f	1308077	0	0
kw_sv_dollar_warning_22a41474	71992	0	0
kw_sync_accept_on_b65eda53	2	0	0
kw_sync_reject_on_1f0c8923	2	0	0
kw_table_c3ee137d	4	2	0
kw_tagged_8e1ec218	380499	0	0
kw_task_7fbb727d	79933	83	0
kw_this_c2543fff	3141213	8	0
kw_throughout_330dbf47	1344	0	0
kw_time_714eea0f	1503984	0	0
kw_timeprecision_628f1cfc	158287	2	0
kw_timeunit_57f78b2f	158287	3	0
kw_token_93ac8946	92094	2	0
kw_tran_8cc27d13	71988	0	0
kw_tranif0_96ae6b37	71988	0	0
kw_tranif1_41e0f26e	71988	0	0
kw_tri_54bf01f1	81638	0	0
kw_triand_51bca013	81638	0	0
kw_trior_56b8b9f0	81638	0	0
kw_trireg_f7901823	81638	0	0
kw_type_d0a3e7f8	1444745	20	0
kw_typedef_6dc2082b	671346	570	0
kw_union_67ad5a07	208962	10	0
kw_unique0	26674	0	0
kw_unique_58037c00	48615	26	0
kw_unsigned_9861ca25	853888	110	0
kw_until_b310f4d4	2	0	0
kw_until_with_f31dfb3c	2	0	0
kw_us_da2b1288	201309	0	0
kw_uwire_9143a634	81638	0	0
kw_var_e5b4e786	115268	0	0
kw_vectored_53eb166d	383	0	0
kw_virtual_af84d91f	300018	6	0
kw_void_e9cede9b	29618	49	0
kw_wait_daaad336	53044	0	0
kw_wait_order_e1b7850a	26522	0	0
kw_wand_4be59aff	81638	0	0
kw_weak0	1	0	0
kw_weak1	2	0	0
kw_weak_1ded3053	2	0	0
kw_while_6517f89c	26628	0	0
kw_wire_6e1c6849	81638	714	0
kw_with_8fcd25a3	21933	0	0
kw_within_f42ef621	1343	0	0
kw_wor_ff9e40da	81638	0	0
kw_x_11f6ad8e	27	0	0
kw_xnor_ab48bc67	71988	0	0
kw_xor_f1922a23	93921	0	0
lbrace	5534923	8684	0
lbrack	3576260	75872	2895206
less_equal	487298	1369	0
less_than	472256	1071	0
let_actual_arg	176	0	0
let_declaration	112802	0	958
let_expression	2519775	1407	1830636
let_identifier	593975	1407	0
let_list_of_arguments	176	0	0
let_named_arg	176	0	0
level_input_list	9	5	0
level_symbol	34	13	12
lifetime	113928	94	0
line_comment	2351223	7197	0
list_of_arguments	4493	8172	12
list_of_arguments_mixed	4481	0	0
list_of_arguments_mixed_head	8838	0	15
list_of_arguments_named	4481	0	1402
list_of_arguments_ordered	4481	8172	1402
list_of_defparam_assignments	1	1	0
list_of_genvar_identifiers	3	5	0
list_of_interface_identifiers	1169	1	0
list_of_net_assignments	22264	1731	0
list_of_net_decl_assignments	13203	732	125
list_of_param_assignments	17916	8940	0
list_of_parameter_assignments	19328	469	0
list_of_parameter_assignments_sv_2017	19328	469	0
list_of_port_connections	42029	8119	14009
list_of_port_declarations	202	48	0
list_of_port_identifiers	264	262	0
list_of_ports	202	57	0
list_of_tf_variable_identifiers	141	177	43
list_of_type_assignments	26	14	0
list_of_udp_port_identifiers	2	2	0
list_of_variable_assignments	22416	1740	224
list_of_variable_decl_assignments	115268	5967	713
list_of_variable_identifiers	2	2	0
list_of_variable_port_identifiers	3	3	0
local_parameter_declaration	115070	441	0
local_parameter_declaration_sv_2017	115070	441	2520
logical_and	472256	1234	0
logical_and3	323097	0	0
logical_or	472256	506	0
loop_generate_construct	73525	41	1498
loop_statement	32377	11	5749
loop_statement_sv_only	26628	1	106
loop_variables	3	1	0
lparen	4699958	96626	3578647
member_identifier	47511	2719	0
method_call	83635	8111	491
method_call_initial	83144	8111	0
method_call_receiver	692920	0	0
method_call_receiver_sv_2017	692920	0	0
method_call_root	746254	0	53334
method_identifier	43867	19059	0
method_prototype	11	8	0
method_qualifier	144	0	0
mintypmax_expression	200225	26649	106611
minus	1110096	6307	0
minus_assign	15361	0	0
minus_minus	869448	0	0
mixed_parameter_port_list	75	0	30
mixed_string_parameter_port_list	75	0	30
modport_clocking_declaration	1	0	0
modport_declaration	4	1	0
modport_identifier	3	3	0
modport_item	1	1	0
modport_ports_declaration	1	1	0
modport_simple_port	1	1	0
modport_simple_ports_declaration	1	1	0
modport_tf_ports_declaration	1	0	0
module_ansi_header	71928	80	0
module_common_item	73472	7672	615
module_common_item_sv_2017	72857	7672	0
module_declaration	72360	118	435
module_declaration_sv_2017	71925	118	0
module_identifier	72605	2814	0
module_instantiation	72747	2675	740
module_item	2380	2303	0
module_keyword	215781	137	0
module_nonansi_header	71928	57	0
module_or_generate_item	72748	7312	1
module_or_generate_item_declaration	72857	3139	190
mos_switchtype	71988	0	0
multiple_concatenation	1942733	876	1363733
n_input_gatetype	71988	0	0
n_output_gatetype	71988	0	0
name_of_instance	61666	8642	0
named_argument	3079	0	0
named_parameter_assignment	68377	3270	23339
named_port_connection	253569	45328	0
named_port_connection_sv_2017	253569	45328	41452
net_alias	72857	0	865
net_assignment	22265	1731	0
net_decl_assignment	13081	733	0
net_declaration	80484	732	0
net_declaration_sv_2017	80484	732	486
net_identifier	37928	2987	0
net_lvalue	24847	2254	0
net_port_header	1565	697	0
net_port_type	1829	959	0
net_port_type_interconnect_sv_only	1829	0	0
net_port_type_sv_2017	1829	959	0
net_strength	383	0	0
net_type	81827	714	189
net_type_declaration	113065	0	1182
net_type_declaration_sv_2017	111883	0	0
net_vector_scalar	383	0	0
non_consecutive_repetition	1344	0	0
non_consecutive_repetition_sv_2017	1344	0	0
non_integer_type	797645	5	0
non_integer_type_sv_only	797645	0	102226
non_keyword_identifier	18758343	415503	17724671
non_overlapped_implication	2	0	1
non_port_interface_item	4	2	0
non_port_module_item	71835	6958	80
non_typedef_package_scope	8084814	7348	7354378
nonblocking_assignment	32377	474	0
nonblocking_implies	26522	0	0
nonrange_select	9165	1	3288
nonrange_variable_lvalue	29810	1	0
not_equal	472256	2019	0
number	1166348	131027	0
open_range_list	24	4	0
open_range_list_sv_2017	24	4	0
open_value_range	24	4	0
open_value_range_sv_2017	24	4	0
operator_assignment	45125	6225	2387
or_assign	15361	1	0
ordered_parameter_assignment	19328	4	7899
ordered_port_connection	31924	13954	0
output_declaration	2382	100	0
output_port_identifier	3	1	0
output_symbol	5	5	0
output_terminal	2577	523	0
overlapped_implication	2	0	1
package_declaration	605	30	0
package_export_declaration	7817	3	0
package_identifier	730729	8081	0
package_import_declaration	114132	27	2017
package_import_item	129	30	0
package_item	7817	7206	0
package_or_generate_item_declaration	80484	10335	0
package_or_generate_item_declaration_sv_2017	80484	10335	0
package_scope	1375701	8018	645265
package_scope_dollar_unit_sv_only	730436	0	0
packed_dimension	199447	8843	8224
par_block	32377	0	5855
param_assignment	19684	8942	0
param_assignment_sv_2017	19684	8942	2120
param_expression	56463	3274	0
parameter_declaration	115070	7311	0
parameter_declaration_sv_2017	115070	7311	2018
parameter_identifier	1387742	49005	0
parameter_override	72747	1	0
parameter_port_declaration	935	410	0
parameter_port_declaration_sv_2017	935	410	0
