class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
macro_use	verilator	test_regress/t/t_select_bound_side_effect.v	STUCK-ON-SVPP-TOKEN	checkh	730	731	578	370	1778	22	10	1879	x++; if (i < 5) `checkh(arr[i], expected); endtask function int get_y;
macro_use	verilator	test_regress/t/t_select_bound_timing_intra.v	STUCK-ON-SVPP-TOKEN	checkh	701	702	578	370	726	21	10	900	#1; if (i < 5) `checkh(arr[i], i); `checkh($time, t + 2); endtask
macro_use	verilator	test_regress/t/t_select_lhs_oob2.v	STUCK-ON-SVPP-TOKEN	ifdef	1001	1002	203	1002	1714	44	44	3299	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_select_little.v	STUCK-ON-SVPP-TOKEN	ifdef	1319	1320	203	1320	2068	47	47	2170	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] sels=%x,%x,%x,%x %x,%x
macro_use	verilator	test_regress/t/t_select_mul_extend.v	STUCK-ON-SVPP-TOKEN	ifdef	1021	1022	208	1022	1734	41	41	2612	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_select_negative.v	STUCK-ON-SVPP-TOKEN	ifdef	1063	1064	203	1064	1781	42	42	1883	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] sels=%x,%x,%x %x,%x,%x
macro_use	verilator	test_regress/t/t_semaphore.v	STUCK-ON-SVPP-TOKEN	SEMAPHORE_T	549	551	524	431	569	22	15	1196	t; // From UVM: `SEMAPHORE_T s; `SEMAPHORE_T s2; initial begin s =
macro_use	verilator	test_regress/t/t_sequence_bool_ops.v	STUCK-ON-SVPP-TOKEN	ifdef	764	765	431	223	1232	29	8	7098	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x a=%b b
macro_use	verilator	test_regress/t/t_sequence_first_match.v	STUCK-ON-SVPP-TOKEN	ifdef	1947	1948	623	223	2526	61	8	2630	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x a=%b b
macro_use	verilator	test_regress/t/t_sequence_intersect.v	STUCK-ON-SVPP-TOKEN	ifdef	711	712	431	223	1179	28	8	3173	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x a=%b b
macro_use	verilator	test_regress/t/t_sequence_sexpr_throughout.v	STUCK-ON-SVPP-TOKEN	ifdef	2953	2954	724	223	3771	78	8	3891	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x cond=%
macro_use	verilator	test_regress/t/t_sequence_within.v	STUCK-ON-SVPP-TOKEN	checkh	3549	3556	850	223	4549	102	8	4556	== 99) begin `checkh(crc, 64'hc77bb9b3784ea091); // p1/p2/p5 use |-
macro_use	verilator	test_regress/t/t_split_var_4.v	STUCK-ON-SVPP-TOKEN	ifdef	1014	1015	364	213	2232	45	7	2239	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_split_var_auto.v	STUCK-ON-SVPP-TOKEN	checkh	1198	1203	463	226	1302	38	8	2387	edge clk) begin `checkh(out0, cnt + 32'd10); `checkh(out1, cnt + 32'd20)
macro_use	verilator	test_regress/t/t_static_init_pkg_order.v	STUCK-ON-SVPP-TOKEN	checkd	2123	2128	1986	223	2170	94	8	2269	rvice_t::get(); `checkd(pkg_a::deferred_q.size(), 0); `checkd(pkg_a::g_s
macro_use	verilator	test_regress/t/t_static_task_args.v	STUCK-ON-SVPP-TOKEN	checkd	610	611	426	221	2008	21	8	2126	nout int x); #5 `checkd(x, expected); endtask task factorial1(input [31
macro_use	verilator	test_regress/t/t_std_randomize.v	STUCK-ON-SVPP-TOKEN	checkd	1854	1859	957	223	4228	82	8	4646	test.data_x_4; `checkd(std::randomize(test.addr, test.data), 1); if (te
macro_use	verilator	test_regress/t/t_std_randomize_assoc.v	STUCK-ON-SVPP-TOKEN	checkd	768	773	488	223	1406	25	8	1489	soc_int[2] = 0; `checkd(std::randomize(assoc_int), 1); // Test 2: std::
macro_use	verilator	test_regress/t/t_std_randomize_queue.v	STUCK-ON-SVPP-TOKEN	checkd	749	754	494	223	1913	28	8	1996	0, 8'd0, 8'd0}; `checkd(std::randomize(q8), 1); // Test 2: std::randomi
