verdict	channel	suite	relpath	furthest	stuck	first_tick	fail_line	bytes	fact_names	snippet
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cov.sv	2244	2245	6845	56	19061	TL_DW,otp_ctrl_core_reg_block	ctrl_core_reg_block ral) with function sample(bit[TL_DW-1:0]
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	232	233	241	7	2502	xbar_main	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) `DRIV
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	232	233	241	7	1965	xbar_peri	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) initial force dut.clk_peri_i
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	960	961	3111	24	6299	csr_enable_cp,ip_clk_en_cp,peri_cross	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_earlgrey/ip_autogen/otp_ctrl/dv/env/otp_ctrl_env_cov.sv	2244	2245	5448	56	15677	TL_DW,otp_ctrl_core_reg_block	ctrl_core_reg_block ral) with function sample(bit[TL_DW-1:0]
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	232	233	241	7	1375	xbar_main	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) init
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	232	233	241	7	1409	xbar_peri	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) `DRIVE_CLK(clk_spi_host0_i) `
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_englishbreakfast/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	960	961	3111	24	6141	csr_enable_cp,ip_clk_en_cp,peri_cross	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/protocol/irqs.sv	362	362	623	12	1104	NoNMI	ither of these NoNMI: assume property (~irq_nm_i); NoFastIRQ: assume property (~
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/spec_instance.sv	471	472	565	14	2815	t_MainMode	ate. */ t_MainMode main_mode; always_comb begin if (wbexc_handling_irq) ma
